blockNumber,gasUsed
7205268,7986564
7205269,7340915
7205270,7997730
7205271,6789500
7205272,6992773
7205273,5277770
7205274,7999141
7205275,4169486
7205276,6776807
7205277,7986175
7205278,7987954
7205279,2519027
7205280,7991676
7205281,6888140
7205282,7981455
7205283,2146006
7205284,7985987
7205285,7989805
7205286,7979491
7205287,7990307
7205288,5221068
7205289,7939099
7205290,5517032
7205291,5480625
7205292,7988494
7205293,7994819
7205294,5911761
7205295,7954384
7205296,4504079
7205297,3009180
7205298,2146399
7205299,7967489
7205300,2790330
7205301,3945607
7205302,2980937
7205303,6872693
7205304,5553449
7205305,7951035
7205306,7991446
7205307,7992136
7205308,7986785
7205309,7874593
7205310,7845466
7205311,7994755
7205312,7983809
7205313,6843539
7205314,7975676
7205315,7785593
7205316,7051469
7205317,7983934
7205318,7994163
7205319,7994556
7205320,7991398
7205321,8007784
7205322,7992675
7205323,7843461
7205324,7727541
7205325,7987065
7205326,7996197
7205327,7996599
7205328,7992355
7205329,7784188
7205330,7999808
7205331,7944449
7205332,7999499
7205333,2978765
7205334,7989251
7205335,7971253
7205336,7989284
7205337,7992688
7205338,7892848
7205339,7999291
7205340,7986392
7205341,7994372
7205342,7986930
7205343,8003218
7205344,7987830
7205345,7545238
7205346,73475
7205347,8010915
7205348,7993751
7205349,7995001
7205350,5880818
7205351,7980836
7205352,4970902
7205353,724047
7205354,7998103
7205355,4072298
7205356,7569123
7205357,7987755
7205358,7958845
7205359,7988627
7205360,5967283
7205361,5544536
7205362,7960075
7205363,7996837
7205364,7994733
7205365,1142397
7205366,7996121
7205367,3328932
7205368,7507665
7205369,6642776
7205370,79475
7205371,5950569
7205372,7935090
7205373,7856591
7205374,2321719
7205375,2050131
7205376,7983974
7205377,7949691
7205378,7957018
7205379,7977209
7205380,6611153
7205381,7834607
7205382,5851408
7205383,4890513
7205384,7999483
7205385,6142699
7205386,5434439
7205387,147000
7205388,7994555
7205389,7965780
7205390,7990015
7205391,7982072
7205392,7987218
7205393,7994630
7205394,7910225
7205395,7997227
7205396,6723661
7205397,6276847
