blockNumber,gasUsed
7206616,5970443
7206617,6186398
7206618,7982536
7206619,6382632
7206620,7984357
7206621,7995703
7206622,7993581
7206623,7982749
7206624,5884889
7206625,7983965
7206626,7988405
7206627,7991118
7206628,326259
7206629,7847110
7206630,7992415
7206631,7763789
7206632,7974701
7206633,7990954
7206634,7167880
7206635,7994891
7206636,7987085
7206637,7986564
7206638,1937700
7206639,1584052
7206640,0
7206641,7996704
7206642,5829098
7206643,7984164
7206644,7992976
7206645,7994643
7206646,7983535
7206647,7997513
7206648,7997525
7206649,2820657
7206650,4992914
7206651,7999203
7206652,8000904
7206653,7992064
7206654,7994176
7206655,6377442
7206656,1746188
7206657,7989337
7206658,7992769
7206659,7983571
7206660,1907138
7206661,8003762
7206662,3966041
7206663,0
7206664,7983573
7206665,7979693
7206666,8006530
7206667,7998581
7206668,7996880
7206669,7995263
7206670,6495102
7206671,7983835
7206672,7981572
7206673,7987947
7206674,7990160
7206675,7985736
7206676,7920400
7206677,7985920
7206678,7999365
7206679,7985967
7206680,7979723
7206681,7992088
7206682,7971667
7206683,7992088
7206684,7996140
7206685,7989672
7206686,7986134
7206687,7986208
7206688,7989413
7206689,7999858
7206690,7984737
7206691,7961400
7206692,7980141
7206693,7031463
7206694,3387961
7206695,6793636
7206696,639827
7206697,7993105
7206698,7991879
7206699,7993053
7206700,7988873
7206701,7985262
7206702,7981709
7206703,7987381
7206704,7979051
7206705,7976686
7206706,7993905
7206707,7981552
7206708,7987664
7206709,7987795
7206710,7990212
7206711,7979583
7206712,7996492
7206713,7985586
7206714,7979989
7206715,7997401
7206716,7984926
7206717,7979333
7206718,5038644
7206719,7983275
7206720,129875
7206721,8007229
7206722,7983076
7206723,7993968
7206724,7825637
7206725,6873107
7206726,7989608
7206727,823871
7206728,7663527
7206729,7986055
7206730,7969896
7206731,7966390
7206732,7997252
7206733,7978490
7206734,7985982
7206735,7979764
7206736,7997473
7206737,7992240
7206738,7995530
7206739,7989616
7206740,7996886
7206741,7982965
7206742,7983568
7206743,7984533
7206744,7992506
7206745,7938276
7206746,5254526
7206747,7982975
7206748,7373784
7206749,7996222
7206750,7982494
7206751,7975516
7206752,857131
7206753,7953590
7206754,7999536
7206755,7985488
7206756,21000
7206757,7997385
7206758,7991601
7206759,7997918
7206760,7984318
7206761,7993785
7206762,7984198
7206763,7994798
7206764,7990648
7206765,2421052
7206766,2727847
7206767,7982335
7206768,7982746
7206769,7989955
7206770,6051014
7206771,6035500
7206772,7986019
7206773,7993058
7206774,0
7206775,7981727
7206776,5454371
7206777,7991123
7206778,7989058
7206779,7989388
7206780,7990249
7206781,7986476
7206782,7925171
7206783,7988512
7206784,1837308
7206785,7990538
7206786,5739546
7206787,7991931
7206788,7981237
7206789,223025
7206790,7983376
7206791,7991679
7206792,7415976
7206793,7990336
7206794,7992945
7206795,2378039
7206796,7030230
7206797,5731066
7206798,7885739
7206799,6288469
7206800,6698476
7206801,7989232
7206802,7966891
7206803,6260940
7206804,7984567
7206805,7958966
7206806,6151025
7206807,3076722
7206808,1709562
7206809,7997597
7206810,7984040
7206811,7980125
7206812,2654944
7206813,7982680
7206814,7988798
7206815,7991744
7206816,7985053
7206817,7993526
7206818,7979575
7206819,7990365
7206820,7978130
7206821,7967141
7206822,3496128
7206823,7985332
7206824,7983424
7206825,7983970
7206826,7883921
7206827,6294100
7206828,7763916
7206829,8006018
7206830,8004834
7206831,7991131
7206832,7989597
7206833,7249291
7206834,7954551
7206835,7983388
7206836,4935915
7206837,932743
7206838,7240366
7206839,7996553
7206840,311078
7206841,7606647
7206842,6158102
7206843,5615125
7206844,7982653
7206845,7982585
7206846,7984884
7206847,7985999
7206848,7979512
7206849,7991288
7206850,7996487
7206851,7992221
7206852,7981320
7206853,7996008
7206854,7987432
7206855,7990007
7206856,7988494
7206857,7985879
7206858,7990591
7206859,7981973
7206860,7989398
7206861,7979767
7206862,7999022
7206863,8003875
7206864,7982668
7206865,7198384
7206866,7996270
7206867,7982002
7206868,1981696
7206869,7992387
7206870,7997955
7206871,924436
7206872,7997161
7206873,7982451
7206874,7992501
7206875,7980572
7206876,7998607
7206877,7983362
7206878,3979363
7206879,7985908
7206880,7984841
7206881,7988769
7206882,7987623
7206883,7981543
7206884,7987891
7206885,7916533
7206886,7986707
7206887,7998078
7206888,3108790
7206889,7984824
7206890,7995070
7206891,7985533
7206892,7999038
7206893,7997981
7206894,7996990
7206895,7979400
7206896,8001725
7206897,5774566
7206898,7998244
7206899,7999887
7206900,7987767
7206901,7980597
7206902,7997789
7206903,7993621
7206904,1456742
7206905,7991609
7206906,2013024
7206907,226297
7206908,7984068
7206909,7992437
7206910,7956985
7206911,7985839
7206912,0
7206913,7976845
7206914,7992364
7206915,7997538
7206916,7931933
7206917,7997436
7206918,6938007
7206919,7911063
7206920,6519289
7206921,58455
7206922,8000569
7206923,7997344
7206924,7994726
7206925,7995291
7206926,7988379
7206927,5520108
7206928,7990312
7206929,7997144
7206930,7987719
7206931,7804992
7206932,7245991
7206933,830821
7206934,7992183
7206935,7991911
7206936,59436
7206937,7857556
7206938,7960204
7206939,7988036
7206940,7996593
7206941,7985428
7206942,7990312
7206943,7863432
7206944,7388480
7206945,7983540
7206946,7993106
7206947,7870452
7206948,7811740
7206949,7911586
7206950,1733555
7206951,7843736
7206952,7980872
7206953,6831181
7206954,7996684
7206955,7882540
7206956,7996211
7206957,7988145
7206958,7997851
7206959,3450011
7206960,7985501
7206961,1167158
7206962,7994418
7206963,4371384
7206964,7994233
7206965,7994589
7206966,7996915
7206967,7995306
7206968,6093001
7206969,7514542
7206970,1902567
7206971,5831546
7206972,7991842
7206973,7926352
7206974,7992213
7206975,2610516
7206976,7984279
7206977,2835382
7206978,7982641
7206979,0
7206980,7987525
7206981,7997846
7206982,7978709
7206983,7763572
7206984,7996297
7206985,7578365
7206986,3265801
7206987,7997043
7206988,7996456
7206989,7997391
7206990,7991847
7206991,7981140
7206992,7979983
7206993,5598878
7206994,1414726
7206995,452533
7206996,7988230
7206997,7999160
7206998,7984310
7206999,7988281
7207000,7993145
7207001,7993773
7207002,7984009
7207003,7980208
7207004,7985044
7207005,7752080
7207006,3443099
7207007,7982125
7207008,7988329
7207009,7593192
7207010,7992261
7207011,7989871
7207012,7981711
7207013,7768522
7207014,3166982
7207015,7998316
7207016,7979052
7207017,7988426
7207018,7996280
7207019,7999271
7207020,7979815
7207021,7988072
7207022,7986903
7207023,7999483
7207024,7989222
7207025,7961246
7207026,7995727
7207027,7971328
7207028,7991975
7207029,7953747
7207030,8006331
7207031,7989458
7207032,7982809
7207033,7982658
7207034,7991187
7207035,7952779
7207036,7984613
7207037,7993209
7207038,7979430
7207039,7986489
7207040,7991424
7207041,7985961
7207042,7990536
7207043,7989479
7207044,7997135
7207045,8005035
7207046,7983768
7207047,7993853
7207048,2004893
7207049,7985292
7207050,7980416
7207051,7990804
7207052,7988829
7207053,7981414
7207054,7998261
7207055,7998670
7207056,5127509
7207057,7988605
7207058,7743623
7207059,7985045
7207060,7982345
7207061,7991572
7207062,7981681
7207063,7985898
7207064,7987185
7207065,7994073
7207066,7987169
7207067,7993083
7207068,0
7207069,7985938
7207070,7980335
7207071,7996675
7207072,7984034
7207073,7983847
7207074,8006462
7207075,7993840
7207076,7993663
7207077,7981207
7207078,8006851
7207079,7991525
7207080,7758499
7207081,3285902
7207082,2831991
7207083,58838
7207084,7995402
7207085,5976987
7207086,5980606
7207087,7988540
7207088,7983959
7207089,7997103
7207090,7985721
7207091,7996860
7207092,7993398
7207093,7990739
7207094,7988958
7207095,7998966
7207096,7999518
7207097,7983239
7207098,7979727
7207099,7996376
7207100,1085117
7207101,7981929
7207102,7982312
7207103,7950761
7207104,7981424
7207105,7988086
7207106,0
7207107,6855920
7207108,7925635
7207109,7180492
7207110,7983491
7207111,7997340
7207112,7998273
7207113,4947513
7207114,7472921
7207115,7583602
7207116,3912359
7207117,7361878
7207118,218254
7207119,7989585
7207120,7981069
7207121,7900320
7207122,7955032
7207123,7987156
7207124,7997065
7207125,7996419
7207126,7998559
7207127,7990949
7207128,7993707
7207129,7981542
7207130,7986157
7207131,7989658
7207132,7995192
7207133,7986734
7207134,7986105
7207135,7992659
7207136,6506313
7207137,7990104
7207138,7995526
7207139,7927815
7207140,7976607
7207141,7980446
7207142,7060323
7207143,4536498
7207144,2784111
7207145,7868285
7207146,7997955
7207147,7866950
7207148,7980689
7207149,7963834
7207150,7995932
7207151,7984686
7207152,7828114
7207153,306443
7207154,7993203
7207155,7988569
7207156,7993219
7207157,7989809
7207158,7985979
7207159,7943557
7207160,2314018
7207161,7993940
7207162,7995224
7207163,7990809
7207164,7980981
7207165,7986849
7207166,6528358
7207167,574917
7207168,7901653
7207169,7861221
7207170,7984404
7207171,7996906
7207172,7999484
7207173,7998870
7207174,7995960
7207175,6156818
7207176,167915
7207177,7822790
7207178,7871224
7207179,7981385
7207180,7998475
7207181,7998669
7207182,8000005
7207183,7997800
7207184,7994174
7207185,7996148
7207186,7989978
7207187,7993109
7207188,5279170
7207189,7982760
7207190,7874384
7207191,7996053
7207192,7994828
7207193,7984826
7207194,7992847
7207195,6649062
7207196,7834499
7207197,7443056
7207198,5570692
7207199,7993305
7207200,7994333
7207201,7989423
7207202,7982957
7207203,7996237
7207204,7966570
7207205,7993577
7207206,7998569
7207207,7999695
7207208,7984760
7207209,7992578
7207210,7986394
7207211,7991108
7207212,7983152
7207213,7993558
7207214,7989720
7207215,7980153
7207216,7948799
7207217,7669655
7207218,7984897
7207219,5011289
7207220,7805580
7207221,6789337
7207222,7998058
7207223,7983208
7207224,7981996
7207225,7973839
7207226,7974572
7207227,7261465
7207228,5987676
7207229,7984892
7207230,7986714
7207231,7999882
7207232,7893588
7207233,7987192
7207234,6563265
7207235,618698
7207236,7887029
7207237,8006560
7207238,7995818
7207239,7985732
7207240,7986396
7207241,7996469
7207242,7988516
7207243,7977207
7207244,7856902
7207245,7992672
7207246,7982065
7207247,7994937
7207248,7995044
7207249,7986407
7207250,7526492
7207251,7991127
7207252,7990248
7207253,7872159
7207254,7998952
7207255,7991245
7207256,7992729
7207257,7997166
7207258,7985893
7207259,7998648
7207260,7776091
7207261,7986406
7207262,7986518
7207263,7989350
7207264,7727325
7207265,5050087
7207266,1460648
7207267,1838206
7207268,7983535
7207269,3311566
7207270,7984014
7207271,1321955
7207272,7988184
7207273,7980890
7207274,7995577
7207275,5883026
7207276,7988941
7207277,7991300
7207278,7993256
7207279,7988770
7207280,7992611
7207281,7979477
7207282,3759695
7207283,7984177
7207284,7985670
7207285,7997123
7207286,5949762
7207287,7996340
7207288,7997156
7207289,7985565
7207290,7535330
7207291,5928082
7207292,7981972
7207293,7929394
7207294,7903369
7207295,5723602
7207296,7292209
7207297,6334910
7207298,7018767
7207299,7994624
7207300,7985935
7207301,6586240
7207302,6234507
7207303,7983296
7207304,7808223
7207305,2272938
7207306,7980046
7207307,7990745
7207308,7873608
7207309,7991001
7207310,7625079
7207311,6233808
7207312,7996016
7207313,7986199
7207314,235155
7207315,7988555
7207316,7980926
7207317,5915476
7207318,1765348
7207319,467812
7207320,1815557
7207321,7994280
7207322,3442202
7207323,7997312
7207324,7826372
7207325,7858695
7207326,6542041
7207327,7611830
7207328,7985830
7207329,896462
7207330,7981997
7207331,8007501
7207332,7672143
7207333,7995614
7207334,7998875
7207335,7972819
7207336,7961021
7207337,7925735
7207338,5882529
7207339,5299889
7207340,1958823
7207341,7910848
7207342,5117513
7207343,6219306
7207344,7993731
7207345,7990416
7207346,5912946
7207347,7987467
7207348,7985711
7207349,7979277
7207350,7979007
7207351,7975293
7207352,7986472
7207353,7992706
7207354,7870127
7207355,7984883
7207356,7995647
7207357,7986541
7207358,7983238
7207359,7996447
7207360,7988071
7207361,7982402
7207362,2263778
7207363,4813302
7207364,7993862
7207365,7994043
7207366,6329038
7207367,7958533
7207368,8002021
7207369,7996769
7207370,7939150
7207371,6688075
7207372,7993269
7207373,6355348
7207374,7994701
7207375,6980236
7207376,2585096
7207377,1154852
7207378,2987548
7207379,450809
7207380,7987410
7207381,7981990
7207382,7269394
7207383,1753402
7207384,2637447
7207385,222546
7207386,7983816
7207387,7996441
7207388,7863092
7207389,7994434
7207390,7987642
7207391,7945344
7207392,7989782
7207393,7986642
7207394,5711519
7207395,2689866
7207396,7989384
7207397,7997562
7207398,7986733
7207399,1474539
7207400,3966479
7207401,2787814
7207402,7985483
7207403,7980711
7207404,7989650
7207405,7981489
7207406,8006380
7207407,7991309
7207408,7982879
7207409,646023
7207410,7979474
7207411,3752517
7207412,5130964
7207413,7846925
7207414,3260318
7207415,6275233
7207416,2031492
7207417,7840228
7207418,6410111
7207419,7995152
7207420,7823289
7207421,181752
7207422,7984833
7207423,7991123
7207424,7980731
7207425,2482509
7207426,2821804
7207427,7989590
7207428,7905336
7207429,7917334
7207430,729322
7207431,7981603
7207432,0
7207433,7234022
7207434,7969980
7207435,7992305
7207436,7998562
7207437,690735
7207438,7918044
7207439,7990486
7207440,42000
7207441,7958406
7207442,7921179
7207443,767860
7207444,7996301
7207445,8000716
7207446,7999797
7207447,7990862
7207448,7997569
7207449,7994944
7207450,7951173
7207451,7990937
7207452,7980303
7207453,7983678
7207454,7998806
7207455,7984453
7207456,7981951
7207457,7905537
7207458,7957293
7207459,37774
7207460,7979596
7207461,7999426
7207462,7630671
7207463,1160934
7207464,7997950
7207465,7993638
7207466,7981681
7207467,7985420
7207468,7997791
7207469,7996914
7207470,1393031
7207471,5124861
7207472,7997863
7207473,7985664
7207474,4803931
7207475,941867
7207476,2451116
7207477,7957663
7207478,7937119
7207479,7938808
7207480,7997287
7207481,147000
7207482,7999728
7207483,7999477
7207484,1692329
7207485,528395
7207486,7981397
7207487,7985742
7207488,7989337
7207489,7993966
7207490,8006285
7207491,8004484
7207492,8010440
7207493,7995649
7207494,7987798
7207495,2909744
7207496,7984417
7207497,7475868
7207498,7991928
7207499,5381345
7207500,5478336
7207501,1056253
7207502,7987877
7207503,7760429
7207504,7976572
7207505,7993206
7207506,3737676
7207507,440868
7207508,7990925
7207509,7308494
7207510,7846752
7207511,7875748
7207512,7994510
7207513,8010750
7207514,8001955
7207515,7995299
7207516,3389391
7207517,7997976
7207518,7989580
7207519,8001921
7207520,7987598
7207521,7988931
7207522,7986646
7207523,7997620
7207524,7995885
7207525,5568326
7207526,7550451
7207527,7996122
7207528,7765186
7207529,7949266
7207530,7980460
7207531,7949395
7207532,7915014
7207533,7921210
7207534,2591243
7207535,2150458
7207536,7895347
7207537,7986530
7207538,7984991
7207539,277158
7207540,6167300
7207541,7913011
7207542,7983347
7207543,7968443
7207544,7962895
7207545,7974800
7207546,7993693
7207547,7984809
7207548,7981289
7207549,7911867
7207550,7884076
7207551,6273051
7207552,7997346
7207553,7983635
7207554,7859910
7207555,4710097
7207556,7868418
7207557,7969842
7207558,6980743
7207559,7817264
7207560,7276966
7207561,6056426
7207562,3001615
7207563,5163677
7207564,3252049
7207565,7997407
7207566,7133017
7207567,7127263
7207568,5192862
7207569,5908283
7207570,4941158
7207571,673197
7207572,303578
7207573,7932074
7207574,6858008
7207575,1643803
7207576,3967938
7207577,2995303
7207578,7900784
7207579,2103565
7207580,1482328
7207581,7994509
7207582,4859031
7207583,4876822
7207584,7992147
7207585,66147
7207586,7985673
7207587,6146873
7207588,7993409
7207589,1518938
7207590,1684501
7207591,6275188
7207592,5513862
7207593,7175962
7207594,1563888
7207595,5662471
7207596,7997183
7207597,6499593
7207598,4075213
7207599,7984995
7207600,1504643
7207601,7982817
7207602,7995736
7207603,7985941
7207604,8004841
7207605,7999494
7207606,7985835
7207607,7983727
7207608,1245454
7207609,4081767
7207610,7991763
7207611,7987375
7207612,130744
7207613,7869188
7207614,6767160
7207615,7988863
7207616,7977939
7207617,2957580
7207618,2055112
7207619,6225861
7207620,3555477
7207621,7993722
7207622,7952530
7207623,7999748
7207624,7987431
7207625,7969194
7207626,7813809
7207627,6968257
7207628,7988855
7207629,6989485
7207630,6376442
7207631,7991820
7207632,608094
7207633,7996093
7207634,7516027
7207635,7973578
7207636,7950369
7207637,7996019
7207638,7962941
7207639,3356400
7207640,7975045
7207641,7986956
7207642,7993365
7207643,7988366
7207644,211660
7207645,7989343
7207646,7983273
7207647,7992745
7207648,7385034
7207649,283606
7207650,7992722
7207651,7999737
7207652,794795
7207653,7992838
7207654,2673339
7207655,7974531
7207656,7733768
7207657,7973492
7207658,7984843
7207659,628443
7207660,7981502
7207661,7543886
7207662,7945615
7207663,7994671
7207664,7921856
7207665,2255433
7207666,4468824
7207667,7252053
7207668,7988386
7207669,3323299
7207670,4102355
7207671,140985
7207672,7985871
7207673,1674463
7207674,7985417
7207675,5774352
7207676,7974286
7207677,5465954
7207678,7999153
7207679,5810902
7207680,868957
7207681,7991509
7207682,7993469
7207683,3525921
7207684,7170869
7207685,3208563
7207686,7988521
7207687,7979993
7207688,4164316
7207689,7984827
7207690,5757713
7207691,0
7207692,6372588
7207693,1221418
7207694,7928713
7207695,7805162
7207696,2553020
7207697,7984463
7207698,6381700
7207699,7932836
7207700,2500683
7207701,7993957
7207702,7871357
7207703,7739715
7207704,85249
7207705,7951365
7207706,7876122
7207707,7991526
7207708,7995279
7207709,7982469
7207710,7719257
7207711,3308368
7207712,7791589
7207713,7984346
7207714,7982998
7207715,7977521
7207716,7933159
7207717,6274542
7207718,7991053
7207719,4504817
7207720,4055722
7207721,7985944
7207722,7994071
7207723,5757660
7207724,7957878
7207725,3681012
7207726,7611900
7207727,5204004
7207728,3510219
7207729,7851723
7207730,3530901
7207731,6971372
7207732,7994550
7207733,4000230
7207734,7991191
7207735,7767687
7207736,4647838
7207737,7979397
7207738,7997456
7207739,7611822
7207740,7989569
7207741,5834886
7207742,4702814
7207743,0
7207744,7993849
7207745,7961130
7207746,3956063
7207747,1591944
7207748,1822729
7207749,595182
7207750,7995255
7207751,5564101
7207752,7959865
7207753,7944586
7207754,7958980
7207755,7997373
7207756,7971647
7207757,7998491
7207758,7979468
7207759,7907659
7207760,3141784
7207761,7983510
7207762,7983718
7207763,8007789
7207764,7991823
7207765,7985403
7207766,6698983
7207767,3989620
7207768,7979522
7207769,7999379
7207770,7749527
7207771,7990177
7207772,7886094
7207773,7991913
7207774,7999521
7207775,5734710
7207776,4505169
7207777,7990369
7207778,7997883
7207779,7983704
7207780,323384
7207781,7963659
7207782,1944892
7207783,7983858
7207784,822913
7207785,1476574
7207786,7991320
7207787,3147712
7207788,3102082
7207789,7999925
7207790,7554107
7207791,6112839
7207792,7812963
7207793,7405110
7207794,2079128
7207795,0
7207796,4629611
7207797,7980672
7207798,934062
7207799,1912506
7207800,7993234
7207801,7985482
7207802,7993815
7207803,7922814
7207804,7989357
7207805,7993040
7207806,7984809
7207807,7985852
7207808,7990199
7207809,7982128
7207810,7996641
7207811,7987033
7207812,7980083
7207813,7956820
7207814,6739666
7207815,7983772
7207816,6218531
7207817,7972763
7207818,0
7207819,4570674
7207820,7556504
7207821,7983539
7207822,7963594
7207823,3600905
7207824,6343667
7207825,7981438
7207826,7988030
7207827,7980331
7207828,3355159
7207829,7885831
7207830,6406052
7207831,1825171
7207832,7996304
7207833,7989270
7207834,2097433
7207835,1195689
7207836,7997239
7207837,7980337
7207838,7981755
7207839,7986765
7207840,7996857
7207841,6222374
7207842,5390062
7207843,7997110
7207844,7993622
7207845,7956205
7207846,649134
7207847,7586938
7207848,7970947
7207849,7991848
7207850,7268076
7207851,7926459
7207852,7966122
7207853,3695203
7207854,7936822
7207855,7935699
7207856,6318154
7207857,1666622
7207858,2515419
7207859,5723374
7207860,6337071
7207861,1725017
7207862,7992518
7207863,7972668
7207864,7993795
7207865,397392
7207866,306766
7207867,398633
7207868,7960522
7207869,126596
7207870,6634429
7207871,7994173
7207872,7975010
7207873,7951342
7207874,7981914
7207875,7995859
7207876,7100406
7207877,7999584
7207878,7980461
7207879,6049939
7207880,7987947
7207881,7925279
7207882,7111898
7207883,7952338
7207884,2935808
7207885,7991436
7207886,7979996
7207887,971042
7207888,7990207
7207889,6591969
7207890,7989100
7207891,7531979
7207892,7970625
7207893,3946077
7207894,7959852
7207895,7992583
7207896,3970571
7207897,7911465
7207898,7991483
7207899,7764388
7207900,2027202
7207901,1231139
7207902,896980
7207903,940387
7207904,7976407
7207905,6102844
7207906,7826797
7207907,3808924
7207908,1998735
7207909,5641572
7207910,3043576
7207911,6546256
7207912,7984605
7207913,3456348
7207914,7991090
7207915,7367057
7207916,7994371
7207917,5715799
7207918,7981476
7207919,7996369
7207920,7998026
7207921,7993827
7207922,3158990
7207923,4114760
7207924,6970923
7207925,297413
7207926,7991724
7207927,7975197
7207928,7993863
7207929,7723439
7207930,6310025
7207931,7982870
7207932,323448
7207933,2269016
7207934,58774
7207935,7353015
7207936,7955816
7207937,7986666
7207938,7969618
7207939,7970909
7207940,7995566
7207941,7990602
7207942,7833725
7207943,7989989
7207944,7979303
7207945,7871571
7207946,5142284
7207947,7990415
7207948,5337109
7207949,4159394
7207950,7996088
7207951,7997300
7207952,2789086
7207953,21000
7207954,7950026
7207955,7974642
7207956,7954395
7207957,810425
7207958,7992853
7207959,7515640
7207960,4392924
7207961,7993770
7207962,7980706
7207963,2455130
7207964,7990576
7207965,7957882
7207966,7916313
7207967,3204938
7207968,7966203
7207969,7988599
7207970,3060070
7207971,196538
7207972,7861027
7207973,2148117
7207974,2965507
7207975,7993764
7207976,7882333
7207977,7875371
7207978,4330647
7207979,7956262
7207980,3378960
7207981,4963896
7207982,1830754
7207983,7866458
7207984,1115540
7207985,1776025
7207986,7913479
7207987,7209892
7207988,4992346
7207989,3991346
7207990,2899267
7207991,1400517
7207992,7824426
7207993,7940690
7207994,4862697
7207995,1710218
7207996,4835288
7207997,89340
7207998,7859573
7207999,7859856
7208000,7975806
7208001,7988731
7208002,7923820
7208003,7810846
7208004,7956649
7208005,7921145
7208006,4253212
7208007,6634152
7208008,7978211
7208009,7999979
7208010,7770186
7208011,7999767
7208012,7567226
7208013,7888826
7208014,7972221
7208015,7879619
7208016,406916
7208017,1264603
7208018,84000
7208019,7987605
7208020,7980394
7208021,5878584
7208022,1512406
7208023,4996303
7208024,1182811
7208025,6124441
7208026,7994963
7208027,7995145
7208028,7992091
7208029,8004766
7208030,7981235
7208031,6453379
7208032,7993957
7208033,7999703
7208034,7996269
7208035,7960932
7208036,7998595
7208037,7996586
7208038,119379
7208039,7994834
7208040,6772648
7208041,7730932
7208042,7033790
7208043,7435697
7208044,0
7208045,7986770
7208046,7996057
7208047,7994946
7208048,5570628
7208049,266234
7208050,722644
7208051,3688611
7208052,7981314
7208053,7986303
7208054,1341251
7208055,7952714
7208056,5634884
7208057,2218932
7208058,7991461
7208059,7977511
7208060,7998085
7208061,7985045
7208062,7990776
7208063,7991467
7208064,7994017
7208065,7996369
7208066,5417949
7208067,7998873
7208068,4669484
7208069,7972067
7208070,7997516
7208071,8006777
7208072,7991976
7208073,4648380
7208074,7997215
7208075,7928835
7208076,7985518
7208077,7980806
7208078,7950088
7208079,7991409
7208080,5670632
7208081,3969271
7208082,7781854
7208083,1046148
7208084,1452694
7208085,1674149
7208086,7997150
7208087,7990383
7208088,7991820
7208089,7542933
7208090,7963579
7208091,2299314
7208092,7996506
7208093,4760463
7208094,7994407
7208095,7988605
7208096,4604286
7208097,7986423
7208098,4432731
7208099,4757193
7208100,651415
7208101,2672304
7208102,7979443
7208103,7936341
7208104,7979825
7208105,4925959
7208106,2774660
7208107,7937612
7208108,6123730
7208109,3907357
7208110,7981553
7208111,7921489
7208112,2301972
7208113,5941281
7208114,1173412
7208115,1227889
7208116,1093105
7208117,7981130
7208118,7981993
7208119,4669957
7208120,7742567
7208121,7958209
7208122,7985872
7208123,3932480
7208124,7991351
7208125,7997362
7208126,7935051
7208127,7951668
7208128,2327603
7208129,7992166
7208130,612816
7208131,4266999
7208132,7982535
7208133,7989847
7208134,7982893
7208135,7965772
7208136,4292686
7208137,6609140
7208138,4467598
7208139,5583331
7208140,7900418
7208141,1724815
7208142,1588550
7208143,5421044
7208144,7992548
7208145,7542490
7208146,5445199
7208147,4227841
7208148,7990056
7208149,7859258
7208150,7913253
7208151,7966818
7208152,7981616
7208153,7951981
7208154,7995271
7208155,7949499
7208156,7921731
7208157,3261002
7208158,7993282
7208159,7997375
7208160,7991080
7208161,5985544
7208162,1997522
7208163,8003697
7208164,4657760
7208165,910407
7208166,7983229
7208167,7969767
7208168,7984476
7208169,3977041
7208170,7992703
7208171,7880865
7208172,7980132
7208173,7979318
7208174,7871951
7208175,7990614
7208176,5963901
7208177,7983912
7208178,2058666
7208179,302506
7208180,4835522
7208181,6368103
7208182,7229982
7208183,7985003
7208184,7988865
7208185,7987166
7208186,7989419
7208187,7985310
7208188,7987598
7208189,7994994
7208190,7992367
7208191,7979142
7208192,5110878
7208193,7872493
7208194,4769847
7208195,5021107
7208196,7990072
7208197,7993595
7208198,7989963
7208199,7985379
7208200,5724430
7208201,7983958
7208202,6742019
7208203,7995844
7208204,1581227
7208205,723487
7208206,2598382
7208207,4665129
7208208,7582306
7208209,7990087
7208210,7997588
7208211,7996858
7208212,4941863
7208213,7736219
7208214,7969589
7208215,4995772
7208216,2425838
7208217,3825520
7208218,5278685
7208219,38058
7208220,7993996
7208221,7477099
7208222,7324778
7208223,7547116
7208224,7997156
7208225,255265
7208226,7992584
7208227,7950450
7208228,3152767
7208229,7998980
7208230,5395410
7208231,136040
7208232,7797929
7208233,7956410
7208234,2684746
7208235,5371534
7208236,21000
7208237,4224567
7208238,3148598
7208239,7999831
7208240,3923872
7208241,7551465
7208242,6229118
7208243,7998808
7208244,7987465
7208245,3798191
7208246,5627494
7208247,7209599
7208248,7755036
7208249,7124537
7208250,1433220
7208251,7976051
7208252,7993812
7208253,7982513
7208254,7982071
7208255,7920702
7208256,6359751
7208257,7925576
7208258,1785672
7208259,4700380
7208260,5102128
7208261,4196187
7208262,7990411
7208263,6262439
7208264,7993588
7208265,2107821
7208266,7967522
7208267,7737393
7208268,7924409
7208269,2967544
7208270,3267278
7208271,5228198
7208272,7989546
7208273,7997303
7208274,3618781
7208275,7993148
7208276,7987108
7208277,5149246
7208278,486863
7208279,2906009
7208280,393280
7208281,7783529
7208282,7039783
7208283,7769984
7208284,6386685
7208285,4054155
7208286,7985678
7208287,7825085
7208288,7961178
7208289,819674
7208290,7948735
7208291,7980645
7208292,7864617
7208293,7781916
7208294,7985195
7208295,7957956
7208296,7745728
7208297,7993286
7208298,6221219
7208299,7792403
7208300,6601364
7208301,7985423
7208302,7986548
7208303,7969669
7208304,7136620
7208305,134578
7208306,2324715
7208307,2511655
7208308,336882
7208309,935519
7208310,21000
7208311,2477491
7208312,2942278
7208313,4340912
7208314,5748032
7208315,8005372
7208316,3704314
7208317,2280890
7208318,7983485
7208319,5050265
7208320,7962024
7208321,7099794
7208322,3750528
7208323,7940486
7208324,4664638
7208325,2593129
7208326,3922385
7208327,0
7208328,7993294
7208329,6458577
7208330,7984417
7208331,7778903
7208332,6367008
7208333,7993877
7208334,7760442
7208335,5356108
7208336,7903451
7208337,7983471
7208338,7995194
7208339,8003290
7208340,7996146
7208341,4043594
7208342,2702550
7208343,7982995
7208344,7984377
7208345,7995784
7208346,7933796
7208347,7998072
7208348,7998827
7208349,2320174
7208350,6314998
7208351,7990976
7208352,7980841
7208353,7997873
7208354,7952975
7208355,7834529
7208356,7907566
7208357,7897927
7208358,7994748
7208359,7980192
7208360,7982289
7208361,4439645
7208362,7729611
7208363,7728399
7208364,7994871
7208365,5099709
7208366,7986924
7208367,7998673
7208368,7904333
7208369,7708130
7208370,7984346
7208371,7979423
7208372,6836387
7208373,6796742
7208374,7979071
7208375,7980404
7208376,7997223
7208377,6604087
7208378,2429475
